Day,Hour,Temperature ,Relative Humidity ,Wind Speed ,Wind Direction 
7,10,30.57,70,18.69,285.64
7,11,31.97,65,16.04,279.04
7,12,32.57,63,20.28,276.12
7,13,32.06,66,21.25,271.94
7,14,32.38,64,22.32,269.08
7,15,32.32,65,21.08,262.15
7,16,32.02,66,20,256.46
7,17,30.63,73,23.77,268.26
7,18,30.21,75,22.75,265.46
7,19,29.72,77,20.32,262.87
7,20,29.5,77,19.6,262.61
7,21,29.31,77,20.06,260.71
7,22,29.18,77,19.52,264.71
7,23,29.1,76,18.36,268.88
8,0,29.08,77,17.28,270
8,1,29.11,76,19.08,271.08
8,2,28.81,77,17.73,275.83
8,3,28.61,77,19.06,280.89
8,4,28.52,78,17.58,280.62
8,5,28.5,78,16.39,278.84
8,6,28.67,78,16.81,279.87
8,7,29.7,73,19.92,276.23
8,8,30.28,70,20.57,274.01
8,9,30.84,68,20.6,275.01
8,10,31.24,66,22.15,277.47
8,11,30.22,70,22.15,277.47
8,12,30.11,71,20.88,270
8,13,30.14,72,20.63,263.99
8,14,30.22,71,21.67,258.5
8,15,30.05,72,23.57,251.29
8,16,29.8,73,23.34,250.17
8,17,29.61,74,22.86,243.84
8,18,29.67,74,21.98,238.39
8,19,29.27,76,20.59,233.53
8,20,29,77,19.73,231.67
8,21,28.87,77,19.13,228.81
8,22,28.88,78,19.11,222.71
8,23,28.74,79,19.45,218.99
9,0,28.65,79,19.64,221.28
9,1,28.5,78,20.66,221.47
9,2,28.07,81,21.31,217.45
9,3,27.71,82,21.18,215.31
9,4,27.09,86,20.68,211.48
9,5,26.65,89,18.72,202.62
9,6,28.53,86,11.75,242.65
9,7,28.42,88,15.89,256.91
9,8,28.68,83,21.24,270.97
9,9,28.88,77,22.73,273.63
9,10,29.25,75,22.68,269.09
9,11,29.32,74,23.89,263.95
9,12,29.07,75,23.8,259.54
9,13,29.45,74,22.66,252.43
9,14,29.81,73,23.67,243.82
9,15,29.43,74,23.27,235.08
9,16,29.33,74,23.78,230.53
9,17,29.18,74,25.03,229.67
9,18,29.01,74,24.76,229.13
9,19,28.66,77,23.51,229.97
9,20,28.53,78,22.73,229.5
9,21,28.44,78,22.41,226.3
9,22,28.44,79,22.67,223.07
9,23,28.42,79,22.73,220.5
